0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DRX013200,hg38,TFs and others,CTCF,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"32436216,93.9,20.8,25356",HeLa CTCF,sample_name=DRS012999,"sample comment=ChIP seq library. HeLa cell line, CTCF IP",,,,
DRX013201,hg38,TFs and others,RAD21,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"48240388,96.1,15.8,55966",HeLa Rad21,sample_name=DRS013000,"sample comment=ChIP seq library. HeLa cell line, Rad21 IP",,,,
DRX013210,hg38,TFs and others,CTCF,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"60014738,95.5,14.9,14150",MCF7 CTCF,sample_name=DRS013009,"sample comment=ChIP seq library. MCF-7 cell line, CTCF IP",,,,
DRX013211,hg38,TFs and others,RAD21,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"11218430,96.7,20.1,136",MCF7 Rad21,sample_name=DRS013010,"sample comment=ChIP seq library. MCF-7 cell line, Rad21 IP",,,,
DRX021114,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"45084660,27.4,81.8,5230",Illumina Genome Analyzer IIx sequencing of SAMD00019999,sample_name=293T MeTA FLAG (-7-30-11),cell_line=HEK293,,,,
DRX021116,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"38518317,41.9,83.7,1882",Illumina Genome Analyzer IIx sequencing of SAMD00019999,sample_name=293T MeTA FLAG (-7-30-11),cell_line=HEK293,,,,
DRX021118,hg38,TFs and others,MBD1,Digestive tract,HCT 116,Primary Tissue=Colon|Tissue Diagnosis=Carcinoma,"38008386,16.3,78.5,24191",Illumina Genome Analyzer IIx sequencing of SAMD00020001,sample_name=HCT116 MBD1 (-8-3-10),cell_line=HCT116,,,,
DRX021119,hg38,TFs and others,MBD2,Digestive tract,HCT 116,Primary Tissue=Colon|Tissue Diagnosis=Carcinoma,"44776382,28.0,79.2,15270",Illumina Genome Analyzer IIx sequencing of SAMD00020002,sample_name=HCT116 MBD2 (-8-3-10),cell_line=HCT116,,,,
DRX021120,hg38,TFs and others,MBD4,Digestive tract,HCT 116,Primary Tissue=Colon|Tissue Diagnosis=Carcinoma,"37372803,36.7,74.9,14499",Illumina Genome Analyzer IIx sequencing of SAMD00020003,sample_name=HCT116 MBD4 (-8-3-10),cell_line=HCT116,,,,
DRX021253,hg38,TFs and others,GRWD1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"29500331,99.5,3.3,315",Illumina HiSeq 1500 sequencing of SAMD00030144,sample_name=HeLa cells stably expressing HA-GRWD1,cell_line=HeLa,,,,
DRX021254,hg38,TFs and others,GRWD1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"18231777,99.0,36.1,165",Illumina HiSeq 1500 sequencing of SAMD00030144,sample_name=HeLa cells stably expressing HA-GRWD1,cell_line=HeLa,,,DRX021452,hg38
DRX022350,hg38,TFs and others,TAF7,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"19191747,90.6,11.7,796",Illumina HiSeq 2500 sequencing of SAMD00022904,sample_name=TAF7,cell_line=HEK293T,,,,
DRX022353,hg38,TFs and others,ICE1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"76803741,98.2,28.2,1434",Illumina HiSeq 2500 sequencing of SAMD00022902,sample_name=NT_ICE1 IP,cell_line=HEK293T,,,,
DRX022354,hg38,TFs and others,ICE1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"78838110,98.2,28.7,1446",Illumina HiSeq 2500 sequencing of SAMD00022902,sample_name=NT_ICE1 IP,cell_line=HEK293T,,,,
DRX022355,hg38,TFs and others,ICE1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"57528481,97.9,48.7,1173",Illumina HiSeq 2500 sequencing of SAMD00022902,sample_name=NT_ICE1 IP,cell_line=HEK293T,,,,
DRX022357,hg38,TFs and others,MED26,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"66830887,98.1,47.5,1234",Illumina HiSeq 2500 sequencing of SAMD00022900,sample_name=MED26 KD_ICE,cell_line=HEK293T,,,,
DRX022358,hg38,TFs and others,MED26,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"76202810,97.9,37.7,1397",Illumina HiSeq 2500 sequencing of SAMD00022900,sample_name=MED26 KD_ICE,cell_line=HEK293T,,,,
DRX022359,hg38,TFs and others,MED26,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"79125076,97.6,45.2,1371",Illumina HiSeq 2500 sequencing of SAMD00022900,sample_name=MED26 KD_ICE,cell_line=HEK293T,,,,
DRX051430,hg38,TFs and others,CTNNB1,Digestive tract,DLD-1,Primary Tissue=Colon|Tissue Diagnosis=Adenocarcinoma,"38549623,96.8,73.0,777",Illumina HiSeq 2500 sequencing of SAMD00047745,sample_name=Bcatenin ChIP,cell_line=DLD-1,cell_type=Colon cancer cells,,,
DRX059607,hg38,TFs and others,MLLT6,Blood,HB1119,,"26857080,83.2,20.2,1301",Illumina HiSeq 2500 sequencing of SAMD00055680,sample_name=0001_HB1119-fanChIP-AF17,cell_line=HB1119,,,,
DRX059608,hg38,TFs and others,AFF1,Blood,HB1119,,"25701675,82.7,8.5,2141",Illumina HiSeq 2500 sequencing of SAMD00055681,sample_name=0002_HB1119-fanChIP-AF4,cell_line=HB1119,,,,
DRX059609,hg38,TFs and others,BMI1,Blood,HB1119,,"20415641,90.7,6.9,1508",Illumina HiSeq 2500 sequencing of SAMD00055682,sample_name=0003_HB1119-fanChIP-BMI1,cell_line=HB1119,,,,
DRX059610,hg38,TFs and others,CBX8,Blood,HB1119,,"33004026,75.0,20.0,2031",Illumina HiSeq 2500 sequencing of SAMD00055683,sample_name=0004_HB1119-fanChIP-CBX8,cell_line=HB1119,,,,
DRX059611,hg38,TFs and others,DOT1L,Blood,HB1119,,"29655719,71.7,27.9,1544",Illumina HiSeq 2500 sequencing of SAMD00055684,sample_name=0005_HB1119-fanChIP-DOT1L,cell_line=HB1119,,,,
DRX059612,hg38,TFs and others,KMT2B,Blood,HB1119,,"28906037,91.2,18.3,2285",Illumina HiSeq 2500 sequencing of SAMD00055685,sample_name=0006_HB1119-fanChIP-MLLn_1,cell_line=HB1119,,,,
DRX059613,hg38,TFs and others,TAF1C,Blood,HB1119,,"25574547,87.2,7.9,1567",Illumina HiSeq 2500 sequencing of SAMD00055686,sample_name=0007_HB1119-fanChIP-TAF1C,cell_line=HB1119,,,,
DRX059614,hg38,TFs and others,KMT2B,Blood,HB1119,,"30705470,80.0,10.6,11788",Illumina HiSeq 2500 sequencing of SAMD00055687,sample_name=0008_HB1119-vector-fanChIP-MLLn_2,cell_line=HB1119,,,,
DRX059615,hg38,TFs and others,KMT2B,Blood,HB1119,,"31044201,77.9,13.4,12041",Illumina HiSeq 2500 sequencing of SAMD00055688,sample_name=0009_HB1119-sh-wtMLL-fanChIP-MLLn_2,cell_line=HB1119,,,,
DRX059624,hg38,TFs and others,DOT1L,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"29232927,87.3,12.1,2830",Illumina HiSeq 2500 sequencing of SAMD00055697,sample_name=0001_293T-fanChIP-DOT1L,cell_line=293T,,,,
DRX059627,hg38,TFs and others,CBX8,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"31983776,97.4,10.6,1523",Illumina HiSeq 2500 sequencing of SAMD00055700,sample_name=0004_293T-fanChIP-CBX8,cell_line=293T,,,,
DRX059628,hg38,TFs and others,BMI1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"34274987,97.9,3.9,1525",Illumina HiSeq 2500 sequencing of SAMD00055701,sample_name=0005_293T-fanChIP-BMI1,cell_line=293T,,,,
DRX059630,hg38,TFs and others,MLLT1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"31318287,92.9,4.1,1555",Illumina HiSeq 2500 sequencing of SAMD00055703,sample_name=0007_293T-fanChIP-ENL,cell_line=293T,,,,
DRX059632,hg38,TFs and others,TAF1C,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"34008999,84.5,6.5,1232",Illumina HiSeq 2500 sequencing of SAMD00055705,sample_name=0009_293T-fanChIP-TAF1C,cell_line=293T,,,,
DRX059635,hg38,TFs and others,AFF1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"30065105,81.8,3.0,1026",Illumina HiSeq 2500 sequencing of SAMD00055708,sample_name=0012_293T-fanChIP-AF4,cell_line=293T,,,,
DRX059637,hg38,TFs and others,MLLT6,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"33291593,89.1,16.0,3525",Illumina HiSeq 2500 sequencing of SAMD00055710,sample_name=0014_293T-fanChIP-AF17,cell_line=293T,,,,
DRX069273,hg38,TFs and others,RAD51,Digestive tract,HCT 116,Primary Tissue=Colon|Tissue Diagnosis=Carcinoma,"24028545,96.8,3.2,624",Illumina HiSeq 2500 sequencing of SAMD00064408,sample_name=Rad51,cell_line=HCT116,,,,
DRX069274,hg38,TFs and others,POLQ,Digestive tract,HCT 116,Primary Tissue=Colon|Tissue Diagnosis=Carcinoma,"36632433,97.5,2.2,720",Illumina HiSeq 2500 sequencing of SAMD00064409,sample_name=PolQ,cell_line=HCT116,,,,
DRX069275,hg38,TFs and others,POLH,Digestive tract,HCT 116,Primary Tissue=Colon|Tissue Diagnosis=Carcinoma,"36280483,97.4,2.5,753",Illumina HiSeq 2500 sequencing of SAMD00064410,sample_name=PolH,cell_line=HCT116,,,DRX069880,hg38
DRX090760,hg38,TFs and others,RAD51,Digestive tract,HCT 116,Primary Tissue=Colon|Tissue Diagnosis=Carcinoma,"26665618,98.4,7.9,337",Illumina HiSeq 3000 sequencing of SAMD00084343,sample_name=ctrl-Rad51,cell_line=HCT116,,,,
DRX090761,hg38,TFs and others,POLQ,Digestive tract,HCT 116,Primary Tissue=Colon|Tissue Diagnosis=Carcinoma,"33348675,98.3,10.0,380",Illumina HiSeq 3000 sequencing of SAMD00084344,sample_name=ctrl-PolQ,cell_line=HCT116,,,,
DRX090762,hg38,TFs and others,POLH,Digestive tract,HCT 116,Primary Tissue=Colon|Tissue Diagnosis=Carcinoma,"24445684,98.9,7.5,327",Illumina HiSeq 3000 sequencing of SAMD00084345,sample_name=ctrl-PolH,cell_line=HCT116,,,,
DRX135461,hg38,TFs and others,TP53,Lung,NCI-H1299,Primary Tissue=Lung|Tissue Diagnosis=Carcinoma Non-Small Cell,"33740362,35.9,55.6,3643",Illumina Genome Analyzer IIx sequencing of SAMD00131353,sample_name=ChIP-seq (H1299 LacZ p53 IP),cell_line=H1299,,,,
DRX135462,hg38,TFs and others,TP53,Lung,NCI-H1299,Primary Tissue=Lung|Tissue Diagnosis=Carcinoma Non-Small Cell,"29608136,36.3,33.6,3971",Illumina Genome Analyzer IIx sequencing of SAMD00131354,sample_name=ChIP-seq (H1299 p53 IP),cell_line=H1299,,,,
DRX144853,hg38,TFs and others,RUNX2,Blood,CAL-1,,"20175266,94.0,32.4,3083",NextSeq 500 sequencing of SAMD00144947,sample_name=CAL1-RUNX2-IP,tissue_type=Cell line,,,,
DRX156329,hg38,TFs and others,MGMT,Neural,U-87 MG,Primary Tissue=Brain|Tissue Diagnosis=Glioblastoma,"8105187,98.5,0.3,199",Illumina MiSeq paired end sequencing of SAMD00158932,sample_name=U87-MGMT-siCont-ChIP-1,biological_replicate=biological replicate1,cell_line=U87,cell_type=human GBM,,
DRX156330,hg38,TFs and others,MGMT,Neural,U-87 MG,Primary Tissue=Brain|Tissue Diagnosis=Glioblastoma,"13286325,99.2,0.4,377",Illumina MiSeq paired end sequencing of SAMD00158933,sample_name=U87-MGMT-siCont-ChIP-2,biological_replicate=biological replicate2,cell_line=U87,cell_type=human GBM,,
DRX156331,hg38,TFs and others,MGMT,Neural,U-87 MG,Primary Tissue=Brain|Tissue Diagnosis=Glioblastoma,"11192349,98.7,0.3,345",Illumina MiSeq paired end sequencing of SAMD00158934,sample_name=U87-MGMT-siRFP-ChIP-1,biological_replicate=biological replicate1,cell_line=U87,cell_type=human GBM,,
DRX156332,hg38,TFs and others,MGMT,Neural,U-87 MG,Primary Tissue=Brain|Tissue Diagnosis=Glioblastoma,"13115772,98.8,0.3,391",Illumina MiSeq paired end sequencing of SAMD00158935,sample_name=U87-MGMT-siRFP-ChIP-2,biological_replicate=biological replicate2,cell_line=U87,cell_type=human GBM,,
DRX156347,hg38,TFs and others,MGMT,Neural,U-87 MG,Primary Tissue=Brain|Tissue Diagnosis=Glioblastoma,"8174947,98.3,0.4,6245",Illumina MiSeq paired end sequencing of SAMD00158932,sample_name=U87-MGMT-siCont-ChIP-1,biological_replicate=biological replicate1,cell_line=U87,cell_type=human GBM,,
DRX156348,hg38,TFs and others,MGMT,Neural,U-87 MG,Primary Tissue=Brain|Tissue Diagnosis=Glioblastoma,"11655786,99.1,0.5,13649",Illumina MiSeq paired end sequencing of SAMD00158933,sample_name=U87-MGMT-siCont-ChIP-2,biological_replicate=biological replicate2,cell_line=U87,cell_type=human GBM,,
DRX156349,hg38,TFs and others,MGMT,Neural,U-87 MG,Primary Tissue=Brain|Tissue Diagnosis=Glioblastoma,"11285629,98.9,0.4,6953",Illumina MiSeq paired end sequencing of SAMD00158934,sample_name=U87-MGMT-siRFP-ChIP-1,biological_replicate=biological replicate1,cell_line=U87,cell_type=human GBM,,
DRX156350,hg38,TFs and others,MGMT,Neural,U-87 MG,Primary Tissue=Brain|Tissue Diagnosis=Glioblastoma,"13476353,98.9,0.4,10226",Illumina MiSeq paired end sequencing of SAMD00158935,sample_name=U87-MGMT-siRFP-ChIP-2,biological_replicate=biological replicate2,cell_line=U87,cell_type=human GBM,DRX158921,hg38
DRX169019,hg38,TFs and others,ZNF217,Unclassified,Unclassified,,"11005067,8.2,16.8,4",Illumina HiSeq 4000 paired end sequencing of SAMD00169928,sample_name=ZNF217_CHIP rep1,,,,,
DRX169021,hg38,TFs and others,ZNF217,Unclassified,Unclassified,,"46214730,2.1,60.6,11",Illumina HiSeq 4000 paired end sequencing of SAMD00169930,sample_name=ZNF217_CHIP rep2,,,,,
DRX169023,hg38,TFs and others,ZNF217,Unclassified,Unclassified,,"31885764,6.1,0.1,11",Illumina HiSeq 4000 paired end sequencing of SAMD00169932,sample_name=ZNF217_CHIP rep3,,,,,
DRX205076,hg38,TFs and others,CTCF,Lung,SVts-8,Primary Tissue=Lung|Tissue Diagnosis=Normal,"15563051,95.9,4.0,689",Illumina MiSeq paired end sequencing of SAMD00209976,sample_name=ChIP-Vec_CTCF,cell_line=SVts8,cell_type=Fibroblasts,growth_condition=SVts8 cells were cultured in DME medium (Nacalai tesque) supplemented with 10% FBS and penicillin/streptomycin (Sigma-Aldrich) at 5% CO2 condition.,,
DRX205077,hg38,TFs and others,CTCF,Lung,SVts-8,Primary Tissue=Lung|Tissue Diagnosis=Normal,"12008555,95.5,4.4,2007",Illumina MiSeq paired end sequencing of SAMD00209977,sample_name=ChIP-Sat_CTCF,cell_line=SVts8,cell_type=Fibroblasts,growth_condition=SVts8 cells were cultured in DME medium (Nacalai tesque) supplemented with 10% FBS and penicillin/streptomycin (Sigma-Aldrich) at 5% CO2 condition.,,
DRX227594,hg38,TFs and others,LDB2,Pluripotent stem cell,iPSC derived neural cells,,"15742990,91.6,7.0,6216",Illumina HiSeq 1500 sequencing of SAMD00235773,sample_name=LDB2_ChIP,biomaterial_provider=RIKEN BioResouece Center,cell_line=hiPSC (HPS0063)-derived neurosphere,,DRX228095,hg38
DRX233482,hg38,TFs and others,CTCF,Lung,SVts-8,Primary Tissue=Lung|Tissue Diagnosis=Normal,"6983835,88.7,15.3,469",Illumina MiSeq paired end sequencing of SAMD00209976,sample_name=ChIP-Vec_CTCF,cell_line=SVts8,cell_type=Fibroblasts,growth_condition=SVts8 cells were cultured in DME medium (Nacalai tesque) supplemented with 10% FBS and penicillin/streptomycin (Sigma-Aldrich) at 5% CO2 condition.,,
DRX233483,hg38,TFs and others,CTCF,Lung,SVts-8,Primary Tissue=Lung|Tissue Diagnosis=Normal,"6981945,86.9,12.1,460",Illumina MiSeq paired end sequencing of SAMD00209977,sample_name=ChIP-Sat_CTCF,cell_line=SVts8,cell_type=Fibroblasts,growth_condition=SVts8 cells were cultured in DME medium (Nacalai tesque) supplemented with 10% FBS and penicillin/streptomycin (Sigma-Aldrich) at 5% CO2 condition.,DRX234800,hg38
SRX003182,hg38,TFs and others,POU2F1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"10376702,27.6,53.6,1347",-,cell line=HeLa,chip antibody=Oct1,"treatment=H2O2, 1 mM, 1 hour",,,
SRX003313,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"1121448,73.3,10.9,347",-,cell line=HeLa S3,chip antibody=STAT1,treatment=IFNgamma stimulated,,,
SRX003314,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"4756117,68.8,6.7,53",HeLa S3 STAT1 ChIP unstimulated 4,cell line=HeLa S3,chip antibody=STAT1,treatment=unstimulated,,,
SRX003315,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"4168064,41.6,4.7,10",-,cell line=HeLa S3,chip antibody=STAT1,treatment=unstimulated,,,
SRX003316,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"4072461,42.2,4.6,14",-,cell line=HeLa S3,chip antibody=STAT1,treatment=unstimulated,,,
SRX003317,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"5041355,56.0,2.9,21",-,cell line=HeLa S3,chip antibody=STAT1,treatment=unstimulated,,,
SRX003318,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"1071764,73.4,11.1,330",-,cell line=HeLa S3,chip antibody=STAT1,treatment=IFNgamma stimulated,,,
SRX003319,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"5069935,71.4,4.8,3641",-,cell line=HeLa S3,chip antibody=STAT1,treatment=IFNgamma stimulated,,,
SRX003320,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"4592181,53.7,4.0,1449",-,cell line=HeLa S3,chip antibody=STAT1,treatment=IFNgamma stimulated,,,
SRX003321,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"5894237,53.0,3.2,2516",-,cell line=HeLa S3,chip antibody=STAT1,treatment=IFNgamma stimulated,,,
SRX003322,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"5615004,54.0,3.0,2419",-,cell line=HeLa S3,chip antibody=STAT1,treatment=IFNgamma stimulated,,,
SRX003323,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"834452,69.3,10.6,4",-,cell line=HeLa S3,chip antibody=STAT1,treatment=unstimulated,,,
SRX003324,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"868774,69.5,12.2,4",-,cell line=HeLa S3,chip antibody=STAT1,treatment=unstimulated,,,
SRX003325,hg38,TFs and others,STAT1,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"865448,69.2,13.2,4",-,cell line=HeLa S3,chip antibody=STAT1,treatment=unstimulated,,,
SRX003794,hg38,TFs and others,CTCF,Blood,CD4+ T cells,,"5922166,53.1,9.2,17974",-,cell type=primary CD4+ T cells,chip antibody=CTCF,,,,
SRX003796,hg38,TFs and others,CTCF,Uterus,HeLa,Primary Tissue=Cervix|Tissue Diagnosis=Adenocarcinoma,"9598905,30.5,6.6,4051",-,cell line=HeLa,chip antibody=CTCF,,,,
SRX003798,hg38,TFs and others,CTCF,Blood,Jurkat,Primary Tissue=Blood|Tissue Diagnosis=Leukemia Acute Lymphocytic,"10556009,42.4,8.3,5480",-,cell line=Jurkat,chip antibody=CTCF,,,SRX003799,hg38
SRX003842,hg38,TFs and others,EZH2,Pluripotent stem cell,ES cells,,"11079144,75.5,21.0,210",-,cell type=Embyonic stem cells,chip antibody=EZH2,line=H9 (passage 45),,,
SRX003846,hg38,TFs and others,RNF2,Pluripotent stem cell,ES cells,,"13963444,64.9,64.8,143",-,cell type=Embyonic stem cells,chip antibody=RING1B,line=H9 (passage 45),,,
SRX003937,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"3334448,69.1,26.3,744",-,cell line=MCF-7,chip antibody=ERalpha,treatment=mock,,,
SRX003938,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"12652745,93.0,24.5,10395",-,cell line=MCF-7,chip antibody=ERalpha,treatment=E2 10 nM 1h,,,
SRX003939,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"7892759,92.7,14.0,8066",-,cell line=MCF-7,chip antibody=ERalpha,treatment=Tamoxifen 1 uM 1h,,,
SRX003940,hg38,TFs and others,ESR1,Breast,MCF-7,Primary Tissue=Breast|Site of Extraction=Pleura|Tissue Diagnosis=Adenocarcinoma,"8302024,92.6,13.4,3805",-,cell line=MCF-7,chip antibody=ERalpha,treatment=Fulvestrant 100 nM,,,
SRX011571,hg38,TFs and others,POU5F1,Pluripotent stem cell,hESC H1,,"9048564,9.8,2.7,35",GSM447582: hESC-Oct4-1a,GEO Accession=GSM447582,cell line=H1,chip antibody=OCT4,,,
SRX011572,hg38,TFs and others,POU5F1,Pluripotent stem cell,hESC H1,,"2534199,9.7,7.0,215",GSM447583: hESC-Oct4-2a,source_name=embryonic stem cells,cell line=H1,chip antibody=OCT4,,,
SRX011573,hg38,TFs and others,KLF4,Pluripotent stem cell,hESC H1,,"7145497,15.4,54.5,155",GSM447584: hESC-KLF4-1a,source_name=embryonic stem cells,cell line=H1,chip antibody=KLF4,,,
SRX011574,hg38,TFs and others,MYC,Pluripotent stem cell,hESC H1,,"13516826,21.7,34.3,198",GSM447585: hESC-MYC-1a,source_name=embryonic stem cells,cell line=H1,chip antibody=MYC,,,
SRX011575,hg38,TFs and others,TAF2,Pluripotent stem cell,hESC H1,,"12147841,39.9,31.4,1603",GSM447586: hESC-TAFII-1a,source_name=embryonic stem cells,cell line=H1,chip antibody=TAFII,,,
SRX011576,hg38,TFs and others,EP300,Pluripotent stem cell,hESC H1,,"9144881,44.2,40.8,794",GSM447587: hESC-P300-1a,source_name=embryonic stem cells,cell line=H1,chip antibody=P300,,,
SRX011577,hg38,TFs and others,TAF2,Pluripotent stem cell,hESC H1,,"15215802,27.2,28.1,402",GSM447588: hESC-TAFII-1b,source_name=embryonic stem cells,cell line=H1,chip antibody=TAFII,,,
SRX011616,hg38,TFs and others,SOX2,Pluripotent stem cell,hESC H1,,"9017771,57.7,18.0,3653",GSM456570: hESC-SOX2-1a,source_name=embryonic stem cells,cell line=H1,chip antibody=SOX2,,,
