 Experimental ID,Genome assembly,Track type class,Track type,Cell type class,Cell type,Cell type description,"Processing logs of ChIP, ATAC, DNase-seq (# of reads, % mapped, % duplicates, # of peaks [Q < 1E-05])",Title,"Processing logs of Bisulfite-seq (# of reads, % mapped, � coverage, # of hyper MR)",Meta data submitted by authors,,,,
DRX059628,hg38,TFs and others,BMI1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"34274987,97.9,3.9,1525",Illumina HiSeq 2500 sequencing of SAMD00055701,sample_name=0005_293T-fanChIP-BMI1,cell_line=293T,,,,
DRX059630,hg38,TFs and others,MLLT1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"31318287,92.9,4.1,1555",Illumina HiSeq 2500 sequencing of SAMD00055703,sample_name=0007_293T-fanChIP-ENL,cell_line=293T,,,,
DRX059632,hg38,TFs and others,TAF1C,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"34008999,84.5,6.5,1232",Illumina HiSeq 2500 sequencing of SAMD00055705,sample_name=0009_293T-fanChIP-TAF1C,cell_line=293T,,,,
DRX059635,hg38,TFs and others,AFF1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"30065105,81.8,3.0,1026",Illumina HiSeq 2500 sequencing of SAMD00055708,sample_name=0012_293T-fanChIP-AF4,cell_line=293T,,,,
DRX059637,hg38,TFs and others,MLLT6,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"33291593,89.1,16.0,3525",Illumina HiSeq 2500 sequencing of SAMD00055710,sample_name=0014_293T-fanChIP-AF17,cell_line=293T,,,,
DRX205076,hg38,TFs and others,CTCF,Lung,SVts-8,Primary Tissue=Lung|Tissue Diagnosis=Normal,"15563051,95.9,4.0,689",Illumina MiSeq paired end sequencing of SAMD00209976,sample_name=ChIP-Vec_CTCF,cell_line=SVts8,cell_type=Fibroblasts,growth_condition=SVts8 cells were cultured in DME medium (Nacalai tesque) supplemented with 10% FBS and penicillin/streptomycin (Sigma-Aldrich) at 5% CO2 condition.,,
DRX205077,hg38,TFs and others,CTCF,Lung,SVts-8,Primary Tissue=Lung|Tissue Diagnosis=Normal,"12008555,95.5,4.4,2007",Illumina MiSeq paired end sequencing of SAMD00209977,sample_name=ChIP-Sat_CTCF,cell_line=SVts8,cell_type=Fibroblasts,growth_condition=SVts8 cells were cultured in DME medium (Nacalai tesque) supplemented with 10% FBS and penicillin/streptomycin (Sigma-Aldrich) at 5% CO2 condition.,,
DRX233482,hg38,TFs and others,CTCF,Lung,SVts-8,Primary Tissue=Lung|Tissue Diagnosis=Normal,"6983835,88.7,15.3,469",Illumina MiSeq paired end sequencing of SAMD00209976,sample_name=ChIP-Vec_CTCF,cell_line=SVts8,cell_type=Fibroblasts,growth_condition=SVts8 cells were cultured in DME medium (Nacalai tesque) supplemented with 10% FBS and penicillin/streptomycin (Sigma-Aldrich) at 5% CO2 condition.,,
DRX233483,hg38,TFs and others,CTCF,Lung,SVts-8,Primary Tissue=Lung|Tissue Diagnosis=Normal,"6981945,86.9,12.1,460",Illumina MiSeq paired end sequencing of SAMD00209977,sample_name=ChIP-Sat_CTCF,cell_line=SVts8,cell_type=Fibroblasts,growth_condition=SVts8 cells were cultured in DME medium (Nacalai tesque) supplemented with 10% FBS and penicillin/streptomycin (Sigma-Aldrich) at 5% CO2 condition.,DRX234800,hg38
SRX016028,hg38,TFs and others,RB1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"14360502,54.8,19.3,7116","GSM497489: Growing cells pRb ChIP-seq experiment 1, replicate 1+2",source_name=Chromatin IP against pRb,chip antibody=pRb,cell line=IMR90,growth state=Growing,,
SRX016029,hg38,TFs and others,RB1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"13558902,51.2,19.9,8490","GSM497490: Quiescent cells pRb ChIP-seq experiment 1, replicate 1+2",source_name=Chromatin IP against pRb,chip antibody=pRb,cell line=IMR90,growth state=Quiescent,,
SRX016030,hg38,TFs and others,RB1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"6822122,26.5,19.8,9931",GSM497491: Quiescent cells pRb ChIP-seq experiment 2,source_name=Chromatin IP against pRb,chip antibody=pRb,cell line=IMR90,growth state=Quiescent,,
SRX016031,hg38,TFs and others,RBL2,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"8995714,63.9,6.4,5551",GSM497492: Quiescent cells p130 ChIP-seq,source_name=Chromatin IP against p130,chip antibody=p130,cell line=IMR90,growth state=Quiescent,,
SRX016032,hg38,TFs and others,RB1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"12065549,45.2,20.2,7947","GSM497493: Senescent cells pRb ChIP-seq experiment 1, replicate 1+2",source_name=Chromatin IP against pRb,chip antibody=pRb,cell line=IMR90,growth state=Senescent,,
SRX016033,hg38,TFs and others,RB1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"7463640,49.1,11.0,5950",GSM497494: Senescent cells pRb ChIP-seq experiment 2,source_name=Chromatin IP against pRb,chip antibody=pRb,cell line=IMR90,growth state=Senescent,,
SRX016034,hg38,TFs and others,RBL2,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"9042855,56.3,8.2,6589",GSM497495: Senescent cells p130 ChIP-seq,source_name=Chromatin IP against p130,chip antibody=p130,cell line=IMR90,growth state=Senescent,,
SRX016035,hg38,TFs and others,RB1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"7857030,60.7,6.4,2591",GSM497496: Quiescent cells expressing shRNA targeting RB pRb ChIP-seq,source_name=Chromatin IP against pRb,chip antibody=pRb,cell line=IMR90,growth state=Quiescent,,
SRX016036,hg38,TFs and others,RBL2,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"4710067,43.2,11.1,7534",GSM497497: Quiescent cells expressing shRNA targeting RB p130 ChIP-seq,source_name=Chromatin IP against p130,chip antibody=p130,cell line=IMR90,growth state=Quiescent,,
SRX016037,hg38,TFs and others,RB1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"7661825,63.0,6.6,3616",GSM497498: Senescent cells expressing shRNA targeting RB pRb ChIP-seq,source_name=Chromatin IP against pRb,chip antibody=pRb,cell line=IMR90,growth state=Senescent,,
SRX016038,hg38,TFs and others,RBL2,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"8120887,66.6,5.5,5062",GSM497499: Senescent cells expressing shRNA targeting RB p130 ChIP-seq,source_name=Chromatin IP against p130,chip antibody=p130,cell line=IMR90,growth state=Senescent,,
SRX016556,hg38,TFs and others,BDP1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"20344235,70.9,16.2,1715",GSM454596: IMR90hTert Bdp1,source_name=IMR90hTert_Bdp1,cell type=IMR90hTert,antibody=Bdp1:CS914,,,
SRX016557,hg38,TFs and others,BRF1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"25329442,68.5,27.0,706",GSM454597: IMR90hTert Brf1,source_name=IMR90hTert_Brf1,cell type=IMR90hTert,antibody=Brf1:CS146(#5),,,
SRX016559,hg38,TFs and others,SNAPC2,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"35759292,77.1,14.7,1691",GSM454599: IMR90hTert SNAP45,source_name=IMR90hTert_SNAP45,cell type=IMR90hTert,antibody=SNAP45,,,
SRX022575,hg38,TFs and others,ERG,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"11783484,30.6,2.9,1416",GSM353649: RWPE+ERG ERG jy15,source_name=RWPE - ERG overexpression stable cell lline - Chromatin IP against ERG,,,,,
SRX022576,hg38,TFs and others,ERG,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"11184830,25.6,3.3,73",GSM353650: RWPE+GUS ERG jy16,source_name=RWPE - GUS control stable cell line - Chromatin IP against ERG,,,,,
SRX070876,hg38,TFs and others,GATA2,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"43880903,74.5,22.1,16851",GSM730701: GATA2 ChIP-seq A,source_name=Chromatin IP against GATA2,cell-type=umbilical vein endothelial cells,passage=01/22/2010,,,
SRX070877,hg38,TFs and others,GATA2,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"26555225,68.8,28.8,19599",GSM730702: GATA2 ChIP-seq B,source_name=Chromatin IP against GATA2,cell-type=umbilical vein endothelial cells,passage=03/05/2010,,,
SRX070878,hg38,TFs and others,FOS,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"15236556,87.2,22.9,14707",GSM730703: cFOS ChIP-seq A,source_name=Chromatin IP against cFOS,cell-type=umbilical vein endothelial cells,passage=04/19/2010,,,
SRX070879,hg38,TFs and others,FOS,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"39973835,97.1,20.9,42274",GSM730704: cFOS ChIP-seq B,source_name=Chromatin IP against cFOS,cell-type=umbilical vein endothelial cells,passage=07/06/2010,,,
SRX084524,hg38,TFs and others,Epitope tags,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"7666721,97.2,46.8,75",GSM738820: RWPE1 FLAG control,source_name=RWPE1_FLAG_control,cell line=RWPE-1,"antibody=FLAG(Sigma, cat# F1804, lot# 080M6035)",retroviral expression=None,,
SRX084525,hg38,TFs and others,ETS1,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"10178521,98.0,14.7,485",GSM738821: RWPE1 ETS1,source_name=RWPE1_ETS1,cell line=RWPE-1,"antibody=ETS1(Santa Cruz Biotechnology, cat# sc-350, lot# E1010)",retroviral expression=None,,
SRX084526,hg38,TFs and others,GABPA,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"1900796,80.5,34.4,18",GSM738822: RWPE1 GABPA,source_name=RWPE1_GABPA,cell line=RWPE-1,"antibody=GABPA(Santa Cruz Biotechnology, cat# sc-22810, lot# B2009)",retroviral expression=None,,
SRX084527,hg38,TFs and others,Epitope tags,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"6035217,97.0,14.5,208",GSM738823: RWPE1 FLAG ERG,source_name=RWPE1_FLAG_ERG,cell line=RWPE-1,"antibody=FLAG(Sigma, cat# F1804, lot# 080M6035)",retroviral expression=FLAG-ERG,,
SRX084528,hg38,TFs and others,Epitope tags,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"11833543,96.6,39.8,360",GSM738824: RWPE1 FLAG ETV1,source_name=RWPE1_FLAG_ETV1,cell line=RWPE-1,"antibody=FLAG(Sigma, cat# F1804, lot# 080M6035)",retroviral expression=FLAG-ETV1,,
SRX096360,hg38,TFs and others,Epitope tags,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"59772565,87.4,8.0,20540",GSM790209: HUVEC EWS-FLI ChIP,source_name=Primary endothelial cells,cell line=HUVEC,chip antibody=HA,,,
SRX096362,hg38,TFs and others,Epitope tags,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"59500538,87.9,7.2,44170",GSM790211: HUVEC FLI1 ChIP,source_name=Primary endothelial cells,cell line=HUVEC,chip antibody=HA,,,
SRX10198035,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"13497542,97.9,5.8,22974",GSM5121445: HA ChIP in HEK293T transduced with KRAB-ZFA7 replicate 2; Homo sapiens; ChIP-Seq,source_name=HA ChIP in HEK293T transduced with KRAB-ZFA7,"antibody=HA antibody (Roche, cat#11867423001, lot #39342600)",cell line=HEK293T,treatment=transduced with KRAB-ZFA7,,
SRX10198038,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"24891756,95.1,47.8,565",GSM5121448: HA ChIP in HEK293T transduced with GFP replicate 2; Homo sapiens; ChIP-Seq,source_name=HA ChIP in HEK293T transduced with GFP,"antibody=HA antibody (Roche, cat#11867423001, lot #39342600)",cell line=HEK293T,treatment=transduced with GFP,,
SRX1036433,hg38,TFs and others,E2F1,Neural,hTERT RPE-1,Primary Tissue=Eye|Tissue Diagnosis=Normal,"28382676,95.6,14.8,869",GSM1693900: ChIP E2F1 hTERT-RPE1; Homo sapiens; ChIP-Seq,source_name=hTERT-RPE1,cell line=hTERT-RPE1,cell type=Epithelial cells immortalized with hTERT,"chip antibody=E2F1 (sc-193, Santa Cruz Biotechnology)",,
SRX1036435,hg38,TFs and others,NPAT,Neural,hTERT RPE-1,Primary Tissue=Eye|Tissue Diagnosis=Normal,"35903342,75.2,23.2,862",GSM1693902: ChIP NPAT hTERT-RPE1; Homo sapiens; ChIP-Seq,source_name=hTERT-RPE1,cell line=hTERT-RPE1,cell type=Epithelial cells immortalized with hTERT,"chip antibody=NPAT (sc-67007, Santa Cruz Biotechnology)",,
SRX10412077,hg38,TFs and others,TFAP2A,Embryo,HEPM,Primary Tissue=Embryo|Tissue Diagnosis=Normal,"18455633,0.0,1.8,3147",GSM5196482: TFAP2A ChIP-seq replicate1; Homo sapiens; ChIP-Seq,source_name=Human embryonal palatal mesenchyme cells (HEPM cells),cell type=Human embryonal palatal mesenchyme cells (HEPM cells),"chip antibody=TFAP2A polyclonal antibody ((ab52222, abcam®, Great Britain)",treatment=treated with antibody overnight,,
SRX10412078,hg38,TFs and others,TFAP2A,Embryo,HEPM,Primary Tissue=Embryo|Tissue Diagnosis=Normal,"17458856,0.0,2.2,3147",GSM5196484: TFAP2A ChIP-seq replicate2; Homo sapiens; ChIP-Seq,source_name=Human embryonal palatal mesenchyme cells (HEPM cells),cell type=Human embryonal palatal mesenchyme cells (HEPM cells),"chip antibody=TFAP2A polyclonal antibody ((ab52222, abcam®, Great Britain)",treatment=treated with antibody overnight,,
SRX1055105,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"11700986,99.1,7.9,35952","GSM1708044: AZF rep1, immunoprecipitation; Homo sapiens; ChIP-Seq",source_name=HEK293,cell type=HEK293,construct=AZF,"chip-antibody=anti-V5 antibody (Cat# R960CUS, Life Technologies)",,
SRX1055107,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"6941122,99.4,4.7,14164","GSM1708046: AZF rep2, immunoprecipitation; Homo sapiens; ChIP-Seq",source_name=HEK293,cell type=HEK293,construct=AZF,"chip-antibody=anti-V5 antibody (Cat# R960CUS, Life Technologies)",,
SRX1055109,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"41383379,98.3,26.2,80283","GSM1708048: KLF3FD-AZF rep1, immunoprecipitation; Homo sapiens; ChIP-Seq",source_name=HEK293,cell type=HEK293,construct=KLF3FD-AZF,"chip-antibody=anti-V5 antibody (Cat# R960CUS, Life Technologies)",,
SRX1055111,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"43864081,98.5,31.0,76914","GSM1708050: KLF3FD-AZF rep2, immunoprecipitation; Homo sapiens; ChIP-Seq",source_name=HEK293,cell type=HEK293,construct=KLF3FD-AZF,"chip-antibody=anti-V5 antibody (Cat# R960CUS, Life Technologies)",,
SRX10567327,hg38,TFs and others,HMGB1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"38472268,97.1,13.4,3849",GSM5234116: IMR90 HMGB1 pro ChIP rep1; Homo sapiens; ChIP-Seq,source_name=Normal lung fibroblast IMR90,cell line=IMR90,condition=Proliferating,chip antibody=HMGB1 Hybridoma Ab (PCRP-HMGB1-4F10),,
SRX10567329,hg38,TFs and others,HMGB1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"34159865,98.1,6.6,1595",GSM5234118: IMR90 HMGB1 pro ChIP rep2; Homo sapiens; ChIP-Seq,source_name=Normal lung fibroblast IMR90,cell line=IMR90,condition=Proliferating,chip antibody=HMGB1 Hybridoma Ab (PCRP-HMGB1-4F10),,
SRX10567331,hg38,TFs and others,HMGB1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"29880508,98.4,7.9,1094",GSM5234120: IMR90 HMGB1 sen ChIP rep1; Homo sapiens; ChIP-Seq,source_name=Normal lung fibroblast IMR90,cell line=IMR90,condition=Senescent,chip antibody=HMGB1 Hybridoma Ab (PCRP-HMGB1-4F10),,
SRX10567333,hg38,TFs and others,HMGB1,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"25994582,95.5,6.7,944",GSM5234122: IMR90 HMGB1 sen ChIP rep2; Homo sapiens; ChIP-Seq,source_name=Normal lung fibroblast IMR90,cell line=IMR90,condition=Senescent,chip antibody=HMGB1 Hybridoma Ab (PCRP-HMGB1-4F10),,
SRX10567335,hg38,TFs and others,HMGB1,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"35183616,93.1,43.6,19254",GSM5234124: HUVEC HMGB1 pro ChIP rep1; Homo sapiens; ChIP-Seq,source_name=Umbilical vein endothelial cells HUVEC,cell line=HUVEC,condition=Proliferating,chip antibody=HMGB1 Hybridoma Ab (PCRP-HMGB1-4F10),,
SRX10606496,hg38,TFs and others,PROSER1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"20795121,95.3,12.1,3396",GSM5242636: HEK293-FlpInTREx-control-DSG 021620-PROSER1-AB5; Homo sapiens; ChIP-Seq,source_name=HEK293 cells,"cell line full name=Flp-In T-REx HEK293 (Invitrogen, R78007)",cell type=human embryonic kidney cells,"chip antibody=rabbit α- PROSER1 (Herz Lab, #34641, human aa 2-233)",,
SRX10606497,hg38,TFs and others,PROSER1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"19863538,95.0,18.0,753",GSM5242637: HEK293-PROSER1KO1D3-DSG 021620-PROSER1-AB5; Homo sapiens; ChIP-Seq,source_name=HEK293 cells,"cell line full name=Flp-In T-REx HEK293 (Invitrogen, R78007)",cell type=human embryonic kidney cells,"chip antibody=rabbit α- PROSER1 (Herz Lab, #34641, human aa 2-233)",,
SRX10606498,hg38,TFs and others,PROSER1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"23050339,96.2,11.9,31515",GSM5242638: HEK293-FlpInTREx-control-DSG 021620-PROSER1-AB7; Homo sapiens; ChIP-Seq,source_name=HEK293 cells,"cell line full name=Flp-In T-REx HEK293 (Invitrogen, R78007)",cell type=human embryonic kidney cells,"chip antibody=rabbit α-PROSER1 (Herz Lab, #34643, mouse aa 582-811)",,
SRX10606499,hg38,TFs and others,PROSER1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"29668807,96.3,9.2,30937",GSM5242639: HEK293-PROSER1KO1D3-DSG 021620-PROSER1-AB7; Homo sapiens; ChIP-Seq,source_name=HEK293 cells,"cell line full name=Flp-In T-REx HEK293 (Invitrogen, R78007)",cell type=human embryonic kidney cells,"chip antibody=rabbit α-PROSER1 (Herz Lab, #34643, mouse aa 582-811)",,
SRX10606500,hg38,TFs and others,PROSER1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"17309130,94.5,20.7,24174",GSM5242640: HEK293-FlpInTREx-control-DSG 021620-PROSER1-AB3; Homo sapiens; ChIP-Seq,source_name=HEK293 cells,"cell line full name=Flp-In T-REx HEK293 (Invitrogen, R78007)",cell type=human embryonic kidney cells,"chip antibody=rabbit α-PROSER1 (Herz Lab, #34429, human aa 302-597)",,
SRX10606501,hg38,TFs and others,PROSER1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"16852809,93.3,45.6,15590",GSM5242641: HEK293-PROSER1KO1D3-DSG 021620-PROSER1-AB3; Homo sapiens; ChIP-Seq,source_name=HEK293 cells,"cell line full name=Flp-In T-REx HEK293 (Invitrogen, R78007)",cell type=human embryonic kidney cells,"chip antibody=rabbit α-PROSER1 (Herz Lab, #34429, human aa 302-597)",,
SRX10606502,hg38,TFs and others,KDM6A,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"15101081,95.8,7.8,44950",GSM5242642: HEK293-FlpInTREx-control-DSG 021620-UTX-AB11; Homo sapiens; ChIP-Seq,source_name=HEK293 cells,"cell line full name=Flp-In T-REx HEK293 (Invitrogen, R78007)",cell type=human embryonic kidney cells,"chip antibody=rabbit α-UTX/KDM6A (Cell Signaling Technology, 33510S)",,
SRX10606503,hg38,TFs and others,KDM6A,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"13326179,95.7,11.0,38042",GSM5242643: HEK293-PROSER1KO1D3-DSG 021620-UTX-AB11; Homo sapiens; ChIP-Seq,source_name=HEK293 cells,"cell line full name=Flp-In T-REx HEK293 (Invitrogen, R78007)",cell type=human embryonic kidney cells,"chip antibody=rabbit α-UTX/KDM6A (Cell Signaling Technology, 33510S)",,
SRX10606510,hg38,TFs and others,TET1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"25960369,95.2,49.0,4195",GSM5242650: HEK293-FlpInTREx-control-DSG 022420-TET1-AB4; Homo sapiens; ChIP-Seq,source_name=HEK293 cells,"cell line full name=Flp-In T-REx HEK293 (Invitrogen, R78007)",cell type=human embryonic kidney cells,"chip antibody=mouse α-TET1 (Invitrogen, MA5-16312)",,
SRX10606511,hg38,TFs and others,TET1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"64443137,94.5,64.5,3627",GSM5242651: HEK293-PROSER1KO1D3-DSG 022420-TET1-AB4; Homo sapiens; ChIP-Seq,source_name=HEK293 cells,"cell line full name=Flp-In T-REx HEK293 (Invitrogen, R78007)",cell type=human embryonic kidney cells,"chip antibody=mouse α-TET1 (Invitrogen, MA5-16312)",,
